,Video ID,Video Title,Duration in Minutes,Published Datetime
149,gfxhjcX_d84,Leveraging the Power of Business Intelligence with Pascal Kiefer,56.62,2022-06-02 15:00:21
150,0JGvRupEFF4,Discover Which Custom Groups Contribute The Most To Profit in Power BI w/DAX,9.05,2017-07-25 21:00:07
151,8XkIVvMgNL4,Examples of Custom Power BI Visuals Using Deneb | Reporting & Data Visualization Summit Session 22,34.35,2022-05-26 01:38:07
152,dgo_j1siJCQ,How To Use Chi-square Test In Excel To Compare Variables,8.1,2022-05-02 15:00:12
153,I1GfloHyn4A,The Importance Of Utilizing Unstructured Data With Kirk Marple,58.6,2022-05-19 15:00:07
154,3UYmduf_mkA,Show Difference To Forecast Up To Last Sale Date Only - DAX Technique In Power BI,7.95,2018-09-23 22:59:52
155,FPfpQdTgjrw,Showcase Unique Insights Using Conditional Formatting Within Charts - Power BI Visual Tips,8.92,2020-09-01 13:00:08
156,U2esBaPCGT0,How To Setup Application Like Reports - Power BI Reporting Techniques,8.48,2018-11-14 19:29:47
157,7-nib_tqW78,Group Workspaces - (1.19) Ultimate Beginners Guide to Power BI,3.12,2018-01-25 03:14:28
158,msG7_yQkHGM,How To Handle Missing Data In Python With Interpolation,17.85,2022-06-10 15:00:17
159,F8gN0Ra7hKI,Organising Your Queries - (1.3) Ultimate Beginners Guide to Power BI,2.13,2018-01-25 03:15:46
160,s2bUGajEfPM,Extending Layered Scenario Analysis Techniques - Advanced DAX & Power BI,9.17,2017-09-26 20:29:24
161,#NAME?,Financial Analytics - Power BI Showcase,4.65,2016-09-06 10:27:25
162,PcHZLurLFv0,Using The Extended Date Table - ISAFTERTODAY,12.03,2020-06-03 01:00:08
163,gK5ey1U9UCI,Dynamic Power BI Report with Calculation Groups - Intro To Problem Of The Week #7,8.93,2021-03-03 14:00:12
164,fFQ7Jsn4yu8,Retail Store Demand - Power BI Showcase,4.25,2016-08-01 22:29:21
165,PCcFRskSDiU,What's The Most Common Behaviour From Customers - DAX in Power BI,6.5,2017-12-03 20:29:58
166,UcortPYk4ro,Enterprise DNA Programs,6.05,2022-02-23 22:40:53
167,WGfE_KoJ4_o,Review Of The Data Scenario - (1.3) Ultimate Beginners Guide to DAX 2019,3.5,2018-03-06 07:37:20
168,uYIbY0H4Ct8,Handling Missing Currency Dates using Average-To-Date,46.5,2020-07-06 01:01:26
169,nRH4AqW-exE,Measure Branching - (1.11) Ultimate Beginners Guide to Power BI,3.88,2018-01-25 03:14:28
170,zwKDfigy9bk,Natural Language Query - (1.20) Ultimate Beginners Guide to Power BI,7.4,2018-01-25 03:14:28
171,f_0TT6CF85Y,Did Margins Expand As Revenue Grew - Power BI & DAX Critical Analysis,9.92,2017-11-23 20:06:10
172,gjFXZlV4gTo,Power BI Mastermind w/Sam McKay & Greg Philps,72.3,2021-06-07 08:16:06
173,eg3H_AKm_HE,Is Conditional Formatting Possible With Calculation Groups In Power BI?,10.78,2021-01-12 01:31:27
174,fnEHEhUqlw8,Answer If Margins Are Expanding or Contracting Through Time With Power BI,8.57,2017-06-07 21:14:58
175,qiLwt3Pmxv8,Formula Context Considerations - (1.11) Ultimate Beginners Guide to DAX 2019,6.85,2018-03-06 07:36:26
176,4FTDHqc9ijs,Improving Data Literacy with George Mount,45.62,2022-06-16 15:00:02
177,Pbmobn8YW1M,Budgeting Techniques In Power BI - Enterprise DNA Webinar Series,59.27,2020-04-30 23:36:59
178,DvvP1l0TLBA,How To Create An Alternating 0-1 Pattern In The Date Table,8.45,2021-01-21 04:22:27
179,8YyZ6Wt8dpI,Budgeting Performance Segmentation - Analytical Technique For Power BI Using DAX,11.2,2018-05-11 22:30:05
